date,close,high,low,open,volume
2024-02-02,125.70130920410156,133.28176397885346,121.7671475557669,121.7671475557669,237724
2024-02-05,127.71636962890624,132.27424136382933,126.6608566336522,127.47648164285768,93946
2024-02-06,136.3043670654297,139.03908153137152,126.6608663576095,129.63548346961835,342307
2024-02-07,136.4482879638672,142.44548780969117,134.3372765464574,139.1350364231166,233378
2024-02-08,134.14537048339844,139.80672134045577,129.92333296279855,137.02402643951598,107276
2024-02-09,132.2742462158203,137.11997199846863,128.05220872153498,137.11997199846863,83551
2024-02-12,126.90074920654295,135.15290208152956,124.7417572540687,134.1933501026521,67143
2024-02-13,122.19894409179688,125.9411983056094,118.98444639920432,124.93366579084426,89706
2024-02-14,132.80198669433594,134.19334876310032,121.959053833738,122.10298809329296,132069
2024-02-15,132.80198669433594,139.0390744947792,131.98637630539247,132.80198669433594,128963
2024-02-16,128.19615173339844,132.9939116838759,127.33254615735164,131.65053011278138,66219
2024-02-19,122.0070343017578,130.40310670827918,118.02489216692504,128.19614889323543,212683
2024-02-20,121.71916961669922,128.77187534563575,120.9035518816577,123.20647082276297,190738
2024-02-21,119.94400024414062,124.69377972548828,118.9844482421875,122.34288024902344,119768
2024-02-22,120.8555679321289,122.24692268386016,118.98444451524963,120.5677067330401,57692
2024-02-23,117.49713134765624,124.40590234164752,116.44162568479652,122.67871325354986,158428
2024-02-26,115.05027770996094,120.32781331756648,114.23466003476376,118.1208409533386,115611
2024-02-27,113.32308959960938,117.88096159413016,112.79534039272428,115.14623986157784,126586
2024-02-28,111.35601043701172,116.77747327855394,110.54038539568884,113.4670218690458,59321
2024-02-29,112.21959686279295,115.1462332187565,110.34847350130832,111.9317356722263,74204
2024-03-01,115.33814239501952,118.0248908050814,112.7473550373745,112.7473550373745,58173
2024-03-04,114.42657470703124,117.49713814401495,113.37106898311814,115.76994895601187,48465
2024-03-05,113.94679260253906,115.05027879506056,112.55544522118608,115.05027879506056,25961
2024-03-06,111.21207427978516,114.37859137385844,108.8611675715302,114.37859137385844,38023
2024-03-07,111.26004791259766,112.6993758665552,110.68431819517475,111.78780442403564,26773
2024-03-11,105.59869384765624,114.18668077601995,103.63160944378284,111.26004443285228,68575
2024-03-12,97.82632446289062,106.22240454796268,96.91475298197456,106.22240454796268,188362
2024-03-13,92.93260955810548,101.61655806981766,92.1169918238255,98.45003354755336,107869
2024-03-14,95.23553466796876,96.48295517884176,86.98338904754922,92.16497123923612,112769
2024-03-15,95.09159088134766,99.55350863618987,93.12451389836556,97.39451688263397,56204
2024-03-18,96.09912872314452,98.35407432896562,94.7077740108887,98.35407432896562,38283
2024-03-19,97.4425048828125,98.785871775914,95.9551964101352,97.53845861506254,44909
2024-03-20,96.4829559326172,98.88183591780609,95.95519940755534,98.30609886472014,31771
2024-03-21,97.68238830566406,99.55351161983732,97.3945198015758,97.73036150914534,32689
2024-03-22,108.23746490478516,113.22713220942256,98.64194522602054,99.12172120995876,425015
2024-03-26,101.18475341796876,110.2525240264039,100.65700422116076,109.86870177003404,107065
2024-03-27,107.37386322021484,118.26477624158848,101.32868308847073,102.57610353495772,826528
2024-03-28,105.02295684814452,111.30802498008131,101.8564398403293,107.3738634923592,181940
2024-04-01,111.21207427978516,113.8988153910473,106.60622191647788,106.60622191647788,138191
2024-04-02,112.36353302001952,113.56297296967986,110.1085873788182,111.64386905022332,39965
2024-04-03,112.89129638671876,114.18669014691432,111.30803409279042,112.93926959514026,40782
2024-04-04,112.17162322998048,115.14623277928528,111.49993247962112,113.46701688458737,47148
2024-04-05,111.30802917480467,113.75488964101936,110.58836519307104,112.1716274170452,36040
2024-04-08,109.5808334350586,113.37106815709544,107.99757852112492,111.88375965641758,42099
2024-04-09,108.76521301269533,112.36353285643776,107.51779985934486,110.156567744756,30890
2024-04-10,110.06060791015624,113.22713233600892,108.7652142162349,108.7652142162349,53269
2024-04-12,108.42937469482422,110.63634719657897,105.88656046127218,110.06061014686856,39221
2024-04-15,104.92700958251952,107.32588957901426,101.85644611532658,104.59116784717042,69883
2024-04-16,106.65420532226562,108.90915103819138,102.7680168282654,102.7680168282654,26892
2024-04-18,106.41431427001952,109.10105537669529,105.93453828802738,107.18195144872668,29103
2024-04-19,104.63914489746094,108.42937223762404,102.91194842907238,103.63161240410086,54495
2024-04-22,105.88655853271484,107.8536430015298,105.16689455448504,105.16689455448504,21640
2024-04-23,107.9975814819336,109.10106043503664,106.41431920379333,106.41431920379333,25266
2024-04-24,108.0455551147461,109.82072487324112,105.93454361612513,108.52533112086913,33720
2024-04-25,107.03802490234376,110.73229851303788,103.77554674870196,107.1339786349331,45189
2024-04-26,115.146240234375,116.77747570937498,106.2703842163086,106.2703842163086,231650
2024-04-29,122.2469253540039,125.70131106412506,119.32028884747308,119.32028884747308,562421
2024-04-30,118.31275939941406,123.2544461285493,117.4011806464509,123.2544461285493,101817
2024-05-02,118.98444366455078,123.06253951595676,117.20927399339298,118.3127602173453,79833
2024-05-03,117.8329849243164,121.57523175321656,115.76994672325571,121.57523175321656,52316
2024-05-06,117.44916534423828,119.22433506617408,115.00230483508302,119.22433506617408,52904
2024-05-07,113.70690155029295,117.97690462955777,113.22712559438456,117.06533324165184,42200
2024-05-08,113.51499938964844,115.67399129191377,111.45196121887923,113.70690685264071,41320
2024-05-09,111.11611938476562,118.31275905163383,110.82825086977071,112.26757880314436,77343
2024-05-10,111.88375854492188,113.61095502398264,109.19701741402802,112.26758079813544,42157
2024-05-13,112.02769470214844,113.61095694796634,107.56577648968003,112.89129295630372,82056
2024-05-14,119.70410919189452,121.8151206140526,113.5150018654034,113.56297507179754,200195
2024-05-15,119.46421813964844,123.25444542539744,119.0324226891506,121.8630980219707,56887
2024-05-16,120.75961303710938,120.95152782212249,118.984443370341,120.32781758223076,41273
2024-05-17,121.2873764038086,122.29490162910204,119.94400211594976,120.66366612864547,48077
2024-05-21,119.08039855957033,121.09545624166188,118.98444482628987,119.12837908661082,39011
2024-05-22,120.66365814208984,121.86309808386012,118.50466624690335,120.27983589656328,68613
2024-05-23,121.52725982666016,122.34287754614095,119.51220213123678,119.94399759425583,67502
2024-05-24,121.3833236694336,124.64579449639852,120.27983744464228,122.15096817036682,158798
2024-05-27,145.6599884033203,145.6599884033203,140.2864916464165,145.6599884033203,759781
2024-05-28,139.27896118164062,160.58102641369396,137.2159303236251,153.5283136488113,1446966
2024-05-29,136.06446838378906,152.28089035646772,133.0418709797544,142.92525891647605,938923
2024-05-30,132.9459228515625,142.39750057864794,130.59502355099812,137.88760943523047,336375
2024-05-31,126.75682067871094,132.2262639614869,126.32501058034356,130.88288242292367,257236
2024-06-03,120.42377471923828,126.660862652904,120.42377471923828,120.42377471923828,352644
2024-06-04,114.42657470703124,115.14623869889935,114.42657470703124,114.42657470703124,49931
2024-06-05,108.7172393798828,108.7172393798828,108.7172393798828,108.7172393798828,62537
2024-06-06,114.13870239257812,114.13870239257812,107.99757572249509,108.42937117496014,128681
2024-06-07,119.80005645751952,119.80005645751952,111.30802337937388,119.3682610192817,171852
2024-06-10,125.778076171875,125.78766642076538,119.9535959055192,125.78766642076538,210929
2024-06-11,124.83772277832033,129.5395217865238,122.82265769388924,129.5395217865238,94627
