nse_symbol,yahoo_symbol,company_name,yahoo_sector,sector_index_name,sector_index_symbol
ADANIENSOL,ADANIENSOL.NS,Adani Energy Solutions Limited,Utilities,NIFTY PSU BANK,^CNXPSUBANK
ADANIENT,ADANIENT.NS,Adani Enterprises Limited,Energy,NIFTY ENERGY,^CNXENERGY
ADANIGREEN,ADANIGREEN.NS,Adani Green Energy Limited,Utilities,NIFTY PSU BANK,^CNXPSUBANK
ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Industrials,NIFTY INFRA,^CNXINFRA
ADANIPOWER,ADANIPOWER.NS,Adani Power Limited,Utilities,NIFTY PSU BANK,^CNXPSUBANK
ADFFOODS,ADFFOODS.NS,ADF Foods Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
ADL,ADL.NS,Archidply Decor Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
ADOR,ADOR.NS,Ador Welding Limited,Industrials,NIFTY INFRA,^CNXINFRA
ADROITINFO,ADROITINFO.NS,Adroit Infotech Limited,Technology,NIFTY IT,^CNXIT
ADSL,ADSL.NS,Allied Digital Services Limited,Technology,NIFTY IT,^CNXIT
ADVANCE,ADVANCE.NS,ADVANCE,Basic Materials,NIFTY METAL,^CNXMETAL
ADVANIHOTR,ADVANIHOTR.NS,Advani Hotels & Resorts (India) Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
ADVENTHTL,ADVENTHTL.NS,Advent Hotels International Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
ADVENZYMES,ADVENZYMES.NS,Advanced Enzyme Technologies Limited,Basic Materials,NIFTY METAL,^CNXMETAL
AEGISLOG,AEGISLOG.NS,AEGISLOG,Energy,NIFTY ENERGY,^CNXENERGY
AEGISVOPAK,AEGISVOPAK.NS,AEGISVOPAK,Energy,NIFTY ENERGY,^CNXENERGY
AEQUS,AEQUS.NS,AEQUS,Industrials,NIFTY INFRA,^CNXINFRA
AEROENTER,AEROENTER.NS,Aeroflex Enterprises Limited,Basic Materials,NIFTY METAL,^CNXMETAL
AEROFLEX,AEROFLEX.NS,Aeroflex Industries Limited,Industrials,NIFTY INFRA,^CNXINFRA
AERONEU,AERONEU.NS,Aeroflex Neu Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
AETHER,AETHER.NS,Aether Industries Limited,Basic Materials,NIFTY METAL,^CNXMETAL
AFCONS,AFCONS.NS,AFCONS,Industrials,NIFTY INFRA,^CNXINFRA
AFFLE,AFFLE.NS,Affle 3i Limited,Communication Services,NIFTY MEDIA,^CNXMEDIA
AFFORDABLE,AFFORDABLE.NS,Affordable Robotic & Automation Limited,Industrials,NIFTY INFRA,^CNXINFRA
AFIL,AFIL.NS,AFIL,Financial Services,NIFTY FIN SERVICE,^CNXFIN
AFSL,AFSL.NS,Abans Financial Services Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
AGARIND,AGARIND.NS,Agarwal Industrial Corporation Limited,Basic Materials,NIFTY METAL,^CNXMETAL
AGARWALEYE,AGARWALEYE.NS,AGARWALEYE,Healthcare,NIFTY PHARMA,^CNXPHARMA
AGI,AGI.NS,AGI Greenpac Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
AGIIL,AGIIL.NS,AGI Infra Limited,Real Estate,NIFTY REALTY,^CNXREALTY
AGROPHOS,AGROPHOS.NS,Agro Phos (India) Limited,Basic Materials,NIFTY METAL,^CNXMETAL
AHCL,AHCL.NS,AHCL,Healthcare,NIFTY PHARMA,^CNXPHARMA
AHLADA,AHLADA.NS,Ahlada Engineers Limited,Industrials,NIFTY INFRA,^CNXINFRA
AHLEAST,AHLEAST.NS,Asian Hotels (East) Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
AHLUCONT,AHLUCONT.NS,Ahluwalia Contracts (India) Limited,Industrials,NIFTY INFRA,^CNXINFRA
AIAENG,AIAENG.NS,AIA Engineering Limited,Industrials,NIFTY INFRA,^CNXINFRA
AIIL,AIIL.NS,Authum Investment & Infrastructure Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
AIRAN,AIRAN.NS,Airan Limited,Technology,NIFTY IT,^CNXIT
AIROLAM,AIROLAM.NS,Airo Lam Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
AJANTPHARM,AJANTPHARM.NS,Ajanta Pharma Limited,Healthcare,NIFTY PHARMA,^CNXPHARMA
AJAXENGG,AJAXENGG.NS,AJAXENGG,Industrials,NIFTY INFRA,^CNXINFRA
AJMERA,AJMERA.NS,Ajmera Realty & Infra India Limited,Real Estate,NIFTY REALTY,^CNXREALTY
AJOONI,AJOONI.NS,Ajooni Biotech Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
AKASH,AKASH.NS,Akash Infra-Projects Limited,Industrials,NIFTY INFRA,^CNXINFRA
AKG,AKG.NS,AKG Exim Limited,Industrials,NIFTY INFRA,^CNXINFRA
AKI,AKI.NS,AKI India Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
AKSHAR,AKSHAR.NS,Akshar Spintex Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
AKSHARCHEM,AKSHARCHEM.NS,AksharChem (India) Limited,Basic Materials,NIFTY METAL,^CNXMETAL
AKSHOPTFBR,AKSHOPTFBR.NS,Aksh Optifibre Limited,Technology,NIFTY IT,^CNXIT
AKUMS,AKUMS.NS,AKUMS,Healthcare,NIFTY PHARMA,^CNXPHARMA
AKZOINDIA,AKZOINDIA.NS,Akzo Nobel India Limited,Basic Materials,NIFTY METAL,^CNXMETAL
ALANKIT,ALANKIT.NS,Alankit Limited,Technology,NIFTY IT,^CNXIT
ALBERTDAVD,ALBERTDAVD.NS,Albert David Limited,Healthcare,NIFTY PHARMA,^CNXPHARMA
ALEMBICLTD,ALEMBICLTD.NS,Alembic Limited,Real Estate,NIFTY REALTY,^CNXREALTY
ALICON,ALICON.NS,Alicon Castalloy Limited,Industrials,NIFTY INFRA,^CNXINFRA
ALIVUS,ALIVUS.NS,Alivus Life Sciences Limited,Healthcare,NIFTY PHARMA,^CNXPHARMA
ALKALI,ALKALI.NS,Alkali Metals Limited,Basic Materials,NIFTY METAL,^CNXMETAL
