nse_symbol,yahoo_symbol,company_name,yahoo_sector,sector_index_name,sector_index_symbol
BANSWRAS,BANSWRAS.NS,Banswara Syntex Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BASF,BASF.NS,BASF India Limited,Basic Materials,NIFTY METAL,^CNXMETAL
BASML,BASML.NS,Bannari Amman Spinning Mills Ltd,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BATAINDIA,BATAINDIA.NS,Bata India Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BAYERCROP,BAYERCROP.NS,Bayer CropScience Limited,Basic Materials,NIFTY METAL,^CNXMETAL
BBL,BBL.NS,Bharat Bijlee Limited,Industrials,NIFTY INFRA,^CNXINFRA
BBOX,BBOX.NS,Black Box Limited,Technology,NIFTY IT,^CNXIT
BBTC,BBTC.NS,The Bombay Burmah Trading Corporation Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
BBTCL,BBTCL.NS,B&B Triplewall Containers Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BCG,BCG.NS,Brightcom Group Limited,Communication Services,NIFTY MEDIA,^CNXMEDIA
BCLIND,BCLIND.NS,BCL Industries Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
BCONCEPTS,BCONCEPTS.NS,Brand Concepts Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BDL,BDL.NS,Bharat Dynamics Limited,Industrials,NIFTY INFRA,^CNXINFRA
BEARDSELL,BEARDSELL.NS,Beardsell Limited,Industrials,NIFTY INFRA,^CNXINFRA
BECTORFOOD,BECTORFOOD.NS,Mrs. Bectors Food Specialities Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
BEDMUTHA,BEDMUTHA.NS,Bedmutha Industries Limited,Basic Materials,NIFTY METAL,^CNXMETAL
BEL,BEL.NS,Bharat Electronics Limited,Industrials,NIFTY INFRA,^CNXINFRA
BELLACASA,BELLACASA.NS,Bella Casa Fashion & Retail Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BELRISE,BELRISE.NS,BELRISE,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BEML,BEML.NS,BEML Limited,Industrials,NIFTY INFRA,^CNXINFRA
BEPL,BEPL.NS,Bhansali Engineering Polymers Limited,Basic Materials,NIFTY METAL,^CNXMETAL
BERGEPAINT,BERGEPAINT.NS,Berger Paints India Limited,Basic Materials,NIFTY METAL,^CNXMETAL
BESTAGRO,BESTAGRO.NS,Best Agrolife Limited,Basic Materials,NIFTY METAL,^CNXMETAL
BETA,BETA.NS,BETA,Healthcare,NIFTY PHARMA,^CNXPHARMA
BFINVEST,BFINVEST.NS,BF Investment Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
BHAGCHEM,BHAGCHEM.NS,Bhagiradha Chemicals & Industries Limited,Basic Materials,NIFTY METAL,^CNXMETAL
BHAGERIA,BHAGERIA.NS,Bhageria Industries Limited,Basic Materials,NIFTY METAL,^CNXMETAL
BHANDARI,BHANDARI.NS,Bhandari Hosiery Exports Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BHARATFORG,BHARATFORG.NS,Bharat Forge Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BHARATRAS,BHARATRAS.NS,Bharat Rasayan Limited,Basic Materials,NIFTY METAL,^CNXMETAL
BHARATSE,BHARATSE.NS,Bharat Seats Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BHARATWIRE,BHARATWIRE.NS,Bharat Wire Ropes Limited,Basic Materials,NIFTY METAL,^CNXMETAL
BHARTIARTL,BHARTIARTL.NS,Bharti Airtel Limited,Communication Services,NIFTY MEDIA,^CNXMEDIA
BHARTIHEXA,BHARTIHEXA.NS,BHARTIHEXA,Communication Services,NIFTY MEDIA,^CNXMEDIA
BHEL,BHEL.NS,Bharat Heavy Electricals Limited,Industrials,NIFTY INFRA,^CNXINFRA
BIGBLOC,BIGBLOC.NS,Bigbloc Construction Limited,Industrials,NIFTY INFRA,^CNXINFRA
BIKAJI,BIKAJI.NS,Bikaji Foods International Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
BIL,BIL.NS,Bhartiya International Ltd.,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BIOCON,BIOCON.NS,Biocon Limited,Healthcare,NIFTY PHARMA,^CNXPHARMA
BIOFILCHEM,BIOFILCHEM.NS,Biofil Chemicals and Pharmaceuticals Limited,Healthcare,NIFTY PHARMA,^CNXPHARMA
BIRLACABLE,BIRLACABLE.NS,Birla Cable Limited,Technology,NIFTY IT,^CNXIT
BIRLACORPN,BIRLACORPN.NS,Birla Corporation Limited,Basic Materials,NIFTY METAL,^CNXMETAL
BIRLAMONEY,BIRLAMONEY.NS,Aditya Birla Money Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
BIRLANU,BIRLANU.NS,BirlaNu Limited,Industrials,NIFTY INFRA,^CNXINFRA
BLACKBUCK,BLACKBUCK.NS,BlackBuck Limited,Technology,NIFTY IT,^CNXIT
BLAL,BLAL.NS,BEML Land Assets Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
BLBLIMITED,BLBLIMITED.NS,BLB Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
BLISSGVS,BLISSGVS.NS,Bliss GVS Pharma Limited,Healthcare,NIFTY PHARMA,^CNXPHARMA
BLKASHYAP,BLKASHYAP.NS,B.L. Kashyap and Sons Limited,Industrials,NIFTY INFRA,^CNXINFRA
BLS,BLS.NS,BLS International Services Limited,Industrials,NIFTY INFRA,^CNXINFRA
BLSE,BLSE.NS,BLSE,Industrials,NIFTY INFRA,^CNXINFRA
BLUEDART,BLUEDART.NS,Blue Dart Express Limited,Industrials,NIFTY INFRA,^CNXINFRA
BLUEJET,BLUEJET.NS,Blue Jet Healthcare Limited,Healthcare,NIFTY PHARMA,^CNXPHARMA
BLUESTARCO,BLUESTARCO.NS,Blue Star Limited,Industrials,NIFTY INFRA,^CNXINFRA
BLUESTONE,BLUESTONE.NS,BLUESTONE,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BLUSPRING,BLUSPRING.NS,Bluspring Enterprises Limited,Industrials,NIFTY INFRA,^CNXINFRA
BMWVENTLTD,BMWVENTLTD.NS,BMWVENTLTD,Basic Materials,NIFTY METAL,^CNXMETAL
BODALCHEM,BODALCHEM.NS,Bodal Chemicals Limited,Basic Materials,NIFTY METAL,^CNXMETAL
BOHRAIND,BOHRAIND.NS,Bohra Industries Limited,Basic Materials,NIFTY METAL,^CNXMETAL
BOMDYEING,BOMDYEING.NS,The Bombay Dyeing and Manufacturing Company Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BOROLTD,BOROLTD.NS,Borosil Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BORORENEW,BORORENEW.NS,Borosil Renewables Limited,Technology,NIFTY IT,^CNXIT
BOROSCI,BOROSCI.NS,Borosil Scientific Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BOSCH-HCIL,BOSCH-HCIL.NS,Bosch Home Comfort India Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BOSCHLTD,BOSCHLTD.NS,Bosch Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BPCL,BPCL.NS,Bharat Petroleum Corporation Limited,Energy,NIFTY ENERGY,^CNXENERGY
BPL,BPL.NS,BPL Limited,Technology,NIFTY IT,^CNXIT
BRIGADE,BRIGADE.NS,Brigade Enterprises Limited,Real Estate,NIFTY REALTY,^CNXREALTY
BRIGHOTEL,BRIGHOTEL.NS,BRIGHOTEL,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BRITANNIA,BRITANNIA.NS,Britannia Industries Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
BRNL,BRNL.NS,Bharat Road Network Limited,Industrials,NIFTY INFRA,^CNXINFRA
BROOKS,BROOKS.NS,Brooks Laboratories Limited,Healthcare,NIFTY PHARMA,^CNXPHARMA
BSE,BSE.NS,BSE Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
BSHSL,BSHSL.NS,Bombay Super Hybrid Seeds Limited,Basic Materials,NIFTY METAL,^CNXMETAL
BSL,BSL.NS,BSL Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BSOFT,BSOFT.NS,Birlasoft Limited,Technology,NIFTY IT,^CNXIT
BTML,BTML.NS,Bodhi Tree Multimedia Limited,Communication Services,NIFTY MEDIA,^CNXMEDIA
BUTTERFLY,BUTTERFLY.NS,Butterfly Gandhimathi Appliances Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BVCL,BVCL.NS,Barak Valley Cements Limited,Basic Materials,NIFTY METAL,^CNXMETAL
BYKE,BYKE.NS,The Byke Hospitality Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
CALSOFT,CALSOFT.NS,California Software Company Limited,Technology,NIFTY IT,^CNXIT
CAMLINFINE,CAMLINFINE.NS,Camlin Fine Sciences Limited,Basic Materials,NIFTY METAL,^CNXMETAL
CAMPUS,CAMPUS.NS,Campus Activewear Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
CAMS,CAMS.NS,Computer Age Management Services Limited,Technology,NIFTY IT,^CNXIT
CANBK,CANBK.NS,Canara Bank,Financial Services,NIFTY FIN SERVICE,^CNXFIN
CANFINHOME,CANFINHOME.NS,Can Fin Homes Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
CANHLIFE,CANHLIFE.NS,CANHLIFE,Financial Services,NIFTY FIN SERVICE,^CNXFIN
CANTABIL,CANTABIL.NS,Cantabil Retail India Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
CAPACITE,CAPACITE.NS,Capacit'e Infraprojects Limited,Industrials,NIFTY INFRA,^CNXINFRA
CAPILLARY,CAPILLARY.NS,CAPILLARY,Technology,NIFTY IT,^CNXIT
CAPITALSFB,CAPITALSFB.NS,Capital Small Finance Bank Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
CAPLIPOINT,CAPLIPOINT.NS,Caplin Point Laboratories Limited,Healthcare,NIFTY PHARMA,^CNXPHARMA
CAPTRUST,CAPTRUST.NS,Capital Trust Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
CARBORUNIV,CARBORUNIV.NS,Carborundum Universal Limited,Industrials,NIFTY INFRA,^CNXINFRA
CARERATING,CARERATING.NS,CARE Ratings Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
CARRARO,CARRARO.NS,CARRARO,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
CARTRADE,CARTRADE.NS,CarTrade Tech Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
CARYSIL,CARYSIL.NS,Carysil Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
CASTROLIND,CASTROLIND.NS,Castrol India Limited,Energy,NIFTY ENERGY,^CNXENERGY
CCHHL,CCHHL.NS,Country Club Hospitality & Holidays Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
CCL,CCL.NS,CCL Products (India) Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
CDSL,CDSL.NS,Central Depository Services (India) Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
CEATLTD,CEATLTD.NS,CEAT Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
CEIGALL,CEIGALL.NS,CEIGALL,Industrials,NIFTY INFRA,^CNXINFRA
CELEBRITY,CELEBRITY.NS,Celebrity Fashions Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
CELLO,CELLO.NS,Cello World Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
CEMPRO,CEMPRO.NS,Cemindia Projects Limited,Industrials,NIFTY INFRA,^CNXINFRA
CENTENKA,CENTENKA.NS,Century Enka Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
CENTRALBK,CENTRALBK.NS,Central Bank of India,Financial Services,NIFTY FIN SERVICE,^CNXFIN
CENTRUM,CENTRUM.NS,Centrum Capital Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
CENTUM,CENTUM.NS,Centum Electronics Limited,Technology,NIFTY IT,^CNXIT
CENTURYPLY,CENTURYPLY.NS,Century Plyboards (India) Limited,Basic Materials,NIFTY METAL,^CNXMETAL
CERA,CERA.NS,Cera Sanitaryware Limited,Industrials,NIFTY INFRA,^CNXINFRA
CESC,CESC.NS,CESC Limited,Utilities,NIFTY PSU BANK,^CNXPSUBANK
CEWATER,CEWATER.NS,CEWATER,Utilities,NIFTY PSU BANK,^CNXPSUBANK
CGCL,CGCL.NS,Capri Global Capital Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
CGPOWER,CGPOWER.NS,CG Power and Industrial Solutions Limited,Industrials,NIFTY INFRA,^CNXINFRA
CHALET,CHALET.NS,Chalet Hotels Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
CHAMBLFERT,CHAMBLFERT.NS,Chambal Fertilisers and Chemicals Limited,Basic Materials,NIFTY METAL,^CNXMETAL
CHEMBOND,CHEMBOND.NS,Chembond Material Technologies Limited,Basic Materials,NIFTY METAL,^CNXMETAL
CHEMBONDCH,CHEMBONDCH.NS,Chembond Chemicals Limited,Basic Materials,NIFTY METAL,^CNXMETAL
CHEMCON,CHEMCON.NS,Chemcon Speciality Chemicals Limited,Basic Materials,NIFTY METAL,^CNXMETAL
CHEMFAB,CHEMFAB.NS,Chemfab Alkalis Limited,Basic Materials,NIFTY METAL,^CNXMETAL
CHEMPLASTS,CHEMPLASTS.NS,Chemplast Sanmar Limited,Basic Materials,NIFTY METAL,^CNXMETAL
CHENNPETRO,CHENNPETRO.NS,Chennai Petroleum Corporation Limited,Energy,NIFTY ENERGY,^CNXENERGY
CHEVIOT,CHEVIOT.NS,Cheviot Company Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
CHOICEIN,CHOICEIN.NS,Choice International Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
CHOLAFIN,CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
CHOLAHLDNG,CHOLAHLDNG.NS,Cholamandalam Financial Holdings Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
CIEINDIA,CIEINDIA.NS,CIE Automotive India Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
CIFL,CIFL.NS,Capital India Finance Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
CIGNITITEC,CIGNITITEC.NS,Cigniti Technologies Limited,Technology,NIFTY IT,^CNXIT
CINELINE,CINELINE.NS,Cineline India Limited,Communication Services,NIFTY MEDIA,^CNXMEDIA
CINEVISTA,CINEVISTA.NS,Cinevista Limited,Communication Services,NIFTY MEDIA,^CNXMEDIA
CIPLA,CIPLA.NS,Cipla Limited,Healthcare,NIFTY PHARMA,^CNXPHARMA
CLEAN,CLEAN.NS,Clean Science and Technology Limited,Basic Materials,NIFTY METAL,^CNXMETAL
CLEDUCATE,CLEDUCATE.NS,CL Educate Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
CLSEL,CLSEL.NS,Chaman Lal Setia Exports Ltd.,Consumer Defensive,NIFTY FMCG,^CNXFMCG
CMSINFO,CMSINFO.NS,CMS Info Systems Limited,Industrials,NIFTY INFRA,^CNXINFRA
CNL,CNL.NS,Creative Newtech Limited,Technology,NIFTY IT,^CNXIT
COALINDIA,COALINDIA.NS,Coal India Limited,Energy,NIFTY ENERGY,^CNXENERGY
COCHINSHIP,COCHINSHIP.NS,Cochin Shipyard Limited,Industrials,NIFTY INFRA,^CNXINFRA
COFFEEDAY,COFFEEDAY.NS,Coffee Day Enterprises Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
COFORGE,COFORGE.NS,Coforge Limited,Technology,NIFTY IT,^CNXIT
COHANCE,COHANCE.NS,COHANCE,Healthcare,NIFTY PHARMA,^CNXPHARMA
COLPAL,COLPAL.NS,Colgate-Palmolive (India) Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
COMPUSOFT,COMPUSOFT.NS,Compucom Software Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
CONCOR,CONCOR.NS,Container Corporation of India Limited,Industrials,NIFTY INFRA,^CNXINFRA
CONCORDBIO,CONCORDBIO.NS,Concord Biotech Limited,Healthcare,NIFTY PHARMA,^CNXPHARMA
CONFIPET,CONFIPET.NS,Confidence Petroleum India Limited,Energy,NIFTY ENERGY,^CNXENERGY
CONSOFINVT,CONSOFINVT.NS,Consolidated Finvest & Holdings Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
CONTROLPR,CONTROLPR.NS,Control Print Limited,Industrials,NIFTY INFRA,^CNXINFRA
CORALFINAC,CORALFINAC.NS,Coral India Finance and Housing Limited,Real Estate,NIFTY REALTY,^CNXREALTY
CORDSCABLE,CORDSCABLE.NS,Cords Cable Industries Limited,Industrials,NIFTY INFRA,^CNXINFRA
COROMANDEL,COROMANDEL.NS,Coromandel International Limited,Basic Materials,NIFTY METAL,^CNXMETAL
CORONA,CORONA.NS,CORONA,Healthcare,NIFTY PHARMA,^CNXPHARMA
COSMOFIRST,COSMOFIRST.NS,Cosmo First Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
COUNCODOS,COUNCODOS.NS,Country Condo's Limited,Real Estate,NIFTY REALTY,^CNXREALTY
CPCAP,CPCAP.NS,CP Capital Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
CPEDU,CPEDU.NS,Career Point Edutech Ltd.,Consumer Defensive,NIFTY FMCG,^CNXFMCG
CPPLUS,CPPLUS.NS,CPPLUS,Industrials,NIFTY INFRA,^CNXINFRA
CRAFTSMAN,CRAFTSMAN.NS,Craftsman Automation Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
CRAMC,CRAMC.NS,CRAMC,Financial Services,NIFTY FIN SERVICE,^CNXFIN
CREATIVEYE,CREATIVEYE.NS,Creative Eye Limited,Communication Services,NIFTY MEDIA,^CNXMEDIA
CREDITACC,CREDITACC.NS,CreditAccess Grameen Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
CREST,CREST.NS,Crest Ventures Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
CRISIL,CRISIL.NS,CRISIL Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
CRIZAC,CRIZAC.NS,CRIZAC,Consumer Defensive,NIFTY FMCG,^CNXFMCG
CROMPTON,CROMPTON.NS,Crompton Greaves Consumer Electricals Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
CROWN,CROWN.NS,Crown Lifters Limited,Industrials,NIFTY INFRA,^CNXINFRA
CSBBANK,CSBBANK.NS,CSB Bank Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
CSLFINANCE,CSLFINANCE.NS,CSL Finance Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
CTE,CTE.NS,Cambridge Technology Enterprises Limited,Technology,NIFTY IT,^CNXIT
CUB,CUB.NS,City Union Bank Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
CUBEXTUB,CUBEXTUB.NS,Cubex Tubings Limited,Basic Materials,NIFTY METAL,^CNXMETAL
CUMMINSIND,CUMMINSIND.NS,Cummins India Limited,Industrials,NIFTY INFRA,^CNXINFRA
CUPID,CUPID.NS,Cupid Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
CYBERMEDIA,CYBERMEDIA.NS,Cyber Media (India) Limited,Communication Services,NIFTY MEDIA,^CNXMEDIA
CYIENT,CYIENT.NS,Cyient Limited,Industrials,NIFTY INFRA,^CNXINFRA
CYIENTDLM,CYIENTDLM.NS,Cyient DLM Limited,Technology,NIFTY IT,^CNXIT
DABUR,DABUR.NS,Dabur India Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
DALBHARAT,DALBHARAT.NS,Dalmia Bharat Limited,Basic Materials,NIFTY METAL,^CNXMETAL
DALMIASUG,DALMIASUG.NS,Dalmia Bharat Sugar and Industries Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
DAMCAPITAL,DAMCAPITAL.NS,DAMCAPITAL,Financial Services,NIFTY FIN SERVICE,^CNXFIN
DAMODARIND,DAMODARIND.NS,Damodar Industries Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
DANGEE,DANGEE.NS,Dangee Dums Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
DATAMATICS,DATAMATICS.NS,Datamatics Global Services Limited,Technology,NIFTY IT,^CNXIT
DATAPATTNS,DATAPATTNS.NS,Data Patterns (India) Limited,Industrials,NIFTY INFRA,^CNXINFRA
DAVANGERE,DAVANGERE.NS,Davangere Sugar Company Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
DBCORP,DBCORP.NS,D. B. Corp Limited,Communication Services,NIFTY MEDIA,^CNXMEDIA
DBEIL,DBEIL.NS,DBEIL,Industrials,NIFTY INFRA,^CNXINFRA
DBL,DBL.NS,Dilip Buildcon Limited,Industrials,NIFTY INFRA,^CNXINFRA
DBOL,DBOL.NS,Dhampur Bio Organics Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
DBREALTY,DBREALTY.NS,Valor Estate Limited,Real Estate,NIFTY REALTY,^CNXREALTY
DBSTOCKBRO,DBSTOCKBRO.NS,DB (International) Stock Brokers Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
DCAL,DCAL.NS,Dishman Carbogen Amcis Limited,Healthcare,NIFTY PHARMA,^CNXPHARMA
DCBBANK,DCBBANK.NS,DCB Bank Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
DCI,DCI.NS,DC Infotech and Communication Limited,Technology,NIFTY IT,^CNXIT
DCM,DCM.NS,DCM Limited,Industrials,NIFTY INFRA,^CNXINFRA
DCMFINSERV,DCMFINSERV.NS,DCM Financial Services Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
DCMNVL,DCMNVL.NS,DCM Nouvelle Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
DCMSHRIRAM,DCMSHRIRAM.NS,DCM Shriram Limited,Industrials,NIFTY INFRA,^CNXINFRA
DCW,DCW.NS,DCW Limited,Basic Materials,NIFTY METAL,^CNXMETAL
DCXINDIA,DCXINDIA.NS,DCX Systems Limited,Industrials,NIFTY INFRA,^CNXINFRA
DDEVPLSTIK,DDEVPLSTIK.NS,Ddev Plastiks Industries Limited,Basic Materials,NIFTY METAL,^CNXMETAL
DECCANCE,DECCANCE.NS,Deccan Cements Limited,Basic Materials,NIFTY METAL,^CNXMETAL
DEEDEV,DEEDEV.NS,DEEDEV,Industrials,NIFTY INFRA,^CNXINFRA
DEEPAKFERT,DEEPAKFERT.NS,Deepak Fertilisers And Petrochemicals Corporation Limited,Basic Materials,NIFTY METAL,^CNXMETAL
DEEPAKNTR,DEEPAKNTR.NS,Deepak Nitrite Limited,Basic Materials,NIFTY METAL,^CNXMETAL
DEEPINDS,DEEPINDS.NS,Deep Industries Limited,Energy,NIFTY ENERGY,^CNXENERGY
DELHIVERY,DELHIVERY.NS,Delhivery Limited,Industrials,NIFTY INFRA,^CNXINFRA
DELPHIFX,DELPHIFX.NS,Delphi World Money Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
DELTACORP,DELTACORP.NS,Delta Corp Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
DELTAMAGNT,DELTAMAGNT.NS,Delta Manufacturing Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
DEN,DEN.NS,DEN Networks Limited,Communication Services,NIFTY MEDIA,^CNXMEDIA
DENORA,DENORA.NS,De Nora India Limited,Industrials,NIFTY INFRA,^CNXINFRA
DENTA,DENTA.NS,DENTA,Industrials,NIFTY INFRA,^CNXINFRA
DEVIT,DEVIT.NS,Dev Information Technology Limited,Technology,NIFTY IT,^CNXIT
DEVX,DEVX.NS,Dev Accelerator Limited,Real Estate,NIFTY REALTY,^CNXREALTY
DEVYANI,DEVYANI.NS,Devyani International Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
DGCONTENT,DGCONTENT.NS,Digicontent Limited,Communication Services,NIFTY MEDIA,^CNXMEDIA
DHAMPURSUG,DHAMPURSUG.NS,Dhampur Sugar Mills Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
DHANBANK,DHANBANK.NS,Dhanlaxmi Bank Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
DHANUKA,DHANUKA.NS,Dhanuka Agritech Limited,Basic Materials,NIFTY METAL,^CNXMETAL
DHARMAJ,DHARMAJ.NS,Dharmaj Crop Guard Limited,Basic Materials,NIFTY METAL,^CNXMETAL
DHRUV,DHRUV.NS,Dhruv Consultancy Services Limited,Industrials,NIFTY INFRA,^CNXINFRA
DHUNINV,DHUNINV.NS,Dhunseri Investments Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
DIACABS,DIACABS.NS,Diamond Power Infrastructure Limited,Industrials,NIFTY INFRA,^CNXINFRA
DIAMINESQ,DIAMINESQ.NS,Diamines and Chemicals Limited,Basic Materials,NIFTY METAL,^CNXMETAL
DIAMONDYD,DIAMONDYD.NS,Prataap Snacks Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
DICIND,DICIND.NS,DIC India Limited,Basic Materials,NIFTY METAL,^CNXMETAL
DIFFNKG,DIFFNKG.NS,DIFFNKG,Industrials,NIFTY INFRA,^CNXINFRA
DIGIDRIVE,DIGIDRIVE.NS,Digidrive Distributors Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
DIGISPICE,DIGISPICE.NS,DiGiSPICE Technologies Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
DIGITIDE,DIGITIDE.NS,Digitide Solutions Limited,Industrials,NIFTY INFRA,^CNXINFRA
DIGJAMLMTD,DIGJAMLMTD.NS,Digjam Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
DISHTV,DISHTV.NS,Dish TV India Limited,Communication Services,NIFTY MEDIA,^CNXMEDIA
DIVGIITTS,DIVGIITTS.NS,Divgi TorqTransfer Systems Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
DIVISLAB,DIVISLAB.NS,Divi's Laboratories Limited,Healthcare,NIFTY PHARMA,^CNXPHARMA
DIXON,DIXON.NS,Dixon Technologies (India) Limited,Technology,NIFTY IT,^CNXIT
DJML,DJML.NS,DJ Mediaprint & Logistics Limited,Industrials,NIFTY INFRA,^CNXINFRA
DLF,DLF.NS,DLF Limited,Real Estate,NIFTY REALTY,^CNXREALTY
DLINKINDIA,DLINKINDIA.NS,D-Link (India) Limited,Technology,NIFTY IT,^CNXIT
DMART,DMART.NS,Avenue Supermarts Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
DMCC,DMCC.NS,DMCC Speciality Chemicals Limited,Basic Materials,NIFTY METAL,^CNXMETAL
DNAMEDIA,DNAMEDIA.NS,Diligent Media Corporation Limited,Communication Services,NIFTY MEDIA,^CNXMEDIA
DODLA,DODLA.NS,Dodla Dairy Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
DOLATALGO,DOLATALGO.NS,Dolat Algotech Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
DOLLAR,DOLLAR.NS,Dollar Industries Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
DOLPHIN,DOLPHIN.NS,Dolphin Offshore Enterprises (India) Limited,Energy,NIFTY ENERGY,^CNXENERGY
DOMS,DOMS.NS,DOMS Industries Limited,Industrials,NIFTY INFRA,^CNXINFRA
DONEAR,DONEAR.NS,Donear Industries Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
