symbol,rsi_daily,rsi_weekly,rsi_monthly,ENTRY_READY
ARE&M,25.94,29.33,47,False
EMAMIPAP,37.39,38.74,36,False
FACT,45.27,42.35,48,False
GODREJCP,46.96,47.67,51,False
SCHAEFFLER,32.71,41.15,52,False
ORICONENT,71.78,78.34,78,False
BALKRISHNA,23.41,29.78,33,False
SHYAMCENT,43.96,38.2,17,False
ADANIENSOL,44.89,50.18,46,False
MANORAMA,56.69,50.86,71,False
FEDERALBNK,75.04,86.04,81,False
CONFIPET,30.25,23.43,31,False
SYNGENE,12.57,28.65,35,False
NGLFINE,64.65,65.36,53,False
AYMSYNTEX,49.38,39.67,55,False
PPL,38.96,26.93,32,False
AARON,29.94,33.56,47,False
RAMASTEEL,32.6,29.84,33,False
AURUM,50.66,49.83,53,False
RADHIKAJWE,22.7,30.37,48,False
DGCONTENT,29.55,28.06,48,False
CSLFINANCE,46.68,44.4,35,False
FINCABLES,44.01,34.62,40,False
JISLJALEQS,33.81,30.4,35,False
SHAREINDIA,37.86,39.57,31,False
STEELCITY,22.96,28.28,49,False
KSHITIJPOL,18.4,19.21,30,False
FINPIPE,43.05,36.96,44,False
MUTHOOTCAP,31.32,35.5,39,False
DYCL,37.32,35.8,50,False
LUPIN,60.88,61.15,66,True
UNITDSPR,49.35,47.85,56,False
SATIN,62.0,56.4,39,False
ARVSMART,35.56,35.77,47,False
POWERMECH,29.99,30.21,42,False
RAMRAT,45.41,41.43,60,False
UFLEX,26.94,31.02,47,False
SHARDAMOTR,32.69,35.55,43,False
NAVKARCORP,40.71,38.21,46,False
RAMAPHO,42.64,48.94,57,False
KRBL,38.18,43.83,48,False
MPSLTD,37.4,36.64,51,False
MARKSANS,33.28,35.23,48,False
TCI,49.4,42.72,52,False
SHREEPUSHK,37.47,42.7,55,False
LOYALTEX,28.7,30.09,31,False
GUJGASLTD,63.64,51.17,42,False
BHARTIARTL,34.5,48.98,69,False
ASAL,43.76,42.46,48,False
OLECTRA,39.41,36.43,36,False
PONNIERODE,50.48,41.56,38,False
PNB,54.58,58.27,58,False
SURANAT&P,37.05,40.48,48,False
INDIAMART,43.28,38.15,45,False
FOSECOIND,25.27,37.79,51,False
SPORTKING,49.14,43.04,51,False
OFSS,37.87,39.34,54,False
UNIONBANK,70.59,74.74,69,False
APTECHT,22.79,18.74,25,False
ZENSARTECH,32.03,36.11,49,False
OAL,42.4,40.0,45,False
NOIDATOLL,40.52,39.99,40,False
NUCLEUS,40.93,37.99,38,False
SYRMA,53.77,52.64,59,False
CANBK,47.21,65.11,70,False
GABRIEL,44.42,43.39,62,False
DREAMFOLKS,28.89,25.68,20,False
GVPTECH,30.65,28.17,37,False
GRMOVER,59.3,69.74,75,True
DBOL,72.6,66.99,50,False
GENESYS,32.49,25.58,38,False
OMAXAUTO,66.31,52.86,55,False
GODREJIND,35.12,35.7,49,False
RADAAN,40.46,35.07,53,False
DIVISLAB,37.35,44.14,61,False
TMB,76.37,81.69,73,False
STCINDIA,50.81,46.47,44,False
RADICO,40.62,46.67,65,False
INDORAMA,39.41,39.83,42,False
MARUTI,30.26,46.41,61,False
GARFIBRES,44.09,34.77,44,False
INFOBEAN,57.58,70.99,72,True
SANGINITA,57.98,55.99,29,False
DCMNVL,47.17,36.37,39,False
SATIA,32.6,26.86,28,False
SIRCA,40.05,50.77,58,False
SECURKLOUD,42.34,45.62,32,False
KSOLVES,24.24,28.38,23,False
NATHBIOGEN,47.0,39.86,41,False
AGRITECH,60.48,52.64,42,False
LIBAS,35.5,34.26,29,False
DANGEE,25.33,29.02,24,False
SUMIT,28.27,28.73,45,False
SHRENIK,29.77,25.26,28,False
CREATIVE,57.89,51.69,45,False
HARSHA,43.67,41.25,46,False
IDFCFIRSTB,57.38,65.05,55,False
INDIGO,31.32,32.37,54,False
SHK,28.39,29.32,43,False
VARDHACRLC,43.14,33.81,34,False
UCOBANK,47.21,44.09,38,False
BAGFILMS,31.38,36.83,31,False
SUVEN,27.82,27.63,46,False
JSL,62.71,59.91,67,False
NSIL,29.97,36.64,55,False
WELSPUNLIV,45.48,46.44,45,False
JAIBALAJI,46.71,33.74,32,False
IGL,39.55,36.09,43,False
TVSELECT,31.12,40.63,50,False
GHCL,35.48,38.39,47,False
DREDGECORP,63.8,67.96,62,False
TVTODAY,31.66,26.97,31,False
UPL,40.74,49.26,59,False
GTECJAINX,44.59,38.37,28,False
UNIENTER,28.04,26.41,36,False
SIL,32.43,22.8,35,False
LUXIND,33.2,25.21,42,False
BALAXI,24.12,18.69,31,False
MUKANDLTD,48.09,48.56,43,False
APOLLO,54.21,53.27,62,False
AFFLE,34.67,36.78,51,False
PETRONET,61.02,57.52,57,False
PTC,66.56,56.19,45,False
DHANBANK,34.94,38.7,27,False
VAIBHAVGBL,46.28,45.51,32,False
TTKHLTCARE,27.32,25.34,29,False
BIOCON,40.84,48.95,58,False
TIPSFILMS,30.31,32.27,34,False
MAHABANK,65.13,68.69,63,False
GICHSGFIN,38.84,35.23,36,False
ZOTA,38.21,47.35,68,False
SALZERELEC,33.51,32.5,48,False
POONAWALLA,30.58,38.7,43,False
XPROINDIA,36.59,37.6,41,False
RKFORGE,46.02,37.86,41,False
DATAMATICS,36.65,39.4,48,False
NDTV,43.46,34.57,25,False
KRITINUT,41.12,28.5,37,False
SPANDANA,49.72,46.04,14,False
PILANIINVS,30.04,40.09,55,False
GIPCL,31.71,31.22,39,False
CCL,52.14,58.04,64,False
EXCELINDUS,45.5,35.57,48,False
KRIDHANINF,65.82,54.41,50,False
LT,51.41,55.51,60,False
APARINDS,48.32,47.26,55,False
AMBICAAGAR,36.42,32.17,38,False
NIITLTD,24.37,23.56,40,False
GLAXO,45.76,38.76,48,False
EMIL,29.05,29.01,32,False
ULTRACEMCO,67.87,62.48,63,False
TCS,44.97,46.67,45,False
COFORGE,35.27,45.22,54,False
TEXINFRA,44.86,46.12,45,False
DCI,38.69,41.17,49,False
PPLPHARMA,24.99,30.8,47,False
FORCEMOT,54.11,59.35,73,False
WESTLIFE,34.92,27.2,30,False
GULFPETRO,39.63,32.91,33,False
TRACXN,29.22,24.81,24,False
LINCOLN,32.67,29.75,39,False
GUFICBIO,39.7,37.22,45,False
ASTRAMICRO,59.03,50.4,61,False
GTL,28.77,31.99,32,False
WELENT,40.42,42.94,53,False
NTPC,68.96,62.81,59,False
NEWGEN,16.77,23.02,42,False
BOHRAIND,49.88,38.53,42,False
KOTARISUG,30.21,28.53,29,False
LALPATHLAB,41.12,40.24,53,False
JBMA,42.58,40.92,37,False
DWARKESH,43.41,38.47,29,False
INDOCO,37.47,31.53,36,False
GMBREW,45.61,54.58,63,False
SUPRAJIT,52.61,50.25,56,False
PATELENG,35.35,28.78,20,False
ALKEM,48.92,58.84,61,False
XCHANGING,27.72,32.4,42,False
JSWSTEEL,58.02,62.58,69,True
CONSOFINVT,45.11,37.56,32,False
GNFC,42.58,38.16,35,False
JINDALPHOT,49.39,58.8,69,False
JPPOWER,35.57,38.07,43,False
